pMonth,pWeek,pHour,pBuy_Energy,pSell_Energy,pBuy_NetworkConnection,pBuy_FirmCapacity,pSell_FirmCapacity
1,1,1,0.04565,0.1,0.05,0,0
1,1,2,0.03972,0.1,0.05,0,0
1,1,3,0.0454,0.1,0.05,0,0
1,1,4,0.04039,0.1,0.05,0,0
1,1,5,0.04189,0.1,0.05,0,0
1,1,6,0.03961,0.1,0.05,0,0
1,1,7,0.03737,0.1,0.05,0,0
1,1,8,0.03577,0.1,0.05,0,0
1,1,9,0.0347,0.1,0.05,0,0
1,1,10,0.03303,0.1,0.05,0,0
1,1,11,0.03801,0.1,0.05,0,0
1,1,12,0.03601,0.1,0.05,0,0
1,1,13,0.04303,0.1,0.05,0,0
1,1,14,0.04068,0.1,0.05,0,0
1,1,15,0.05056,0.1,0.05,0,0
1,1,16,0.04135,0.1,0.05,0,0
1,1,17,0.03776,0.1,0.05,0,0
1,1,18,0.03934,0.1,0.05,0,0
1,1,19,0.04592,0.1,0.05,0,0
1,1,20,0.05499,0.1,0.05,0,0
1,1,21,0.05653,0.1,0.05,0,0
1,1,22,0.07126,0.1,0.05,0,0
1,1,23,0.05051,0.1,0.05,0,0
1,1,24,0.0556,0.1,0.05,0,0
